SITECODE,LCODE,SDATE,SECTION,FIELDNAME,VALUE
T01,1,10-Apr-93,1,XX,0
T01,1,10-Apr-93,2,XX,0
T01,1,10-Apr-93,3,XX,0
T01,1,10-Apr-93,4,84,2
T01,1,10-Apr-93,5,84,1
T01,1,10-Apr-93,6,XX,0
T01,1,10-Apr-93,7,XX,0
T01,1,10-Apr-93,8,XX,0
T01,1,10-Apr-93,9,2,2
T01,1,10-Apr-93,10,XX,0
T01,1,10-Apr-93,11,XX,0
T01,1,10-Apr-93,12,XX,0
T01,1,21-Apr-93,1,XX,0
T01,1,21-Apr-93,2,XX,0
T01,1,21-Apr-93,3,2,1
T01,1,21-Apr-93,4,XX,0
T01,1,21-Apr-93,5,XX,0
T01,1,21-Apr-93,6,XX,0
T01,1,21-Apr-93,7,XX,0
T01,1,21-Apr-93,8,2,1
T01,1,21-Apr-93,9,2,4
T01,1,21-Apr-93,10,XX,0
T01,1,21-Apr-93,11,2,1
T01,1,21-Apr-93,12,XX,0
T01,1,30-Apr-93,1,XX,0
T01,1,30-Apr-93,2,XX,0
T01,1,30-Apr-93,3,2,1
T01,1,30-Apr-93,3,84,2
T01,1,30-Apr-93,3,98,1
T01,1,30-Apr-93,4,100,1
T01,1,30-Apr-93,4,2,3
T01,1,30-Apr-93,4,4,2
T01,1,30-Apr-93,4,54,1
T01,1,30-Apr-93,4,84,2
T01,1,30-Apr-93,5,XX,0
T01,1,30-Apr-93,6,2,1
T01,1,30-Apr-93,6,4,1
T01,1,30-Apr-93,6,54,1
T01,1,30-Apr-93,6,84,1
T01,1,30-Apr-93,7,2,1
T01,1,30-Apr-93,7,84,1
T01,1,30-Apr-93,8,2,2
T01,1,30-Apr-93,9,2,4
T01,1,30-Apr-93,9,54,1
T01,1,30-Apr-93,9,84,6
T01,1,30-Apr-93,10,84,1
T01,1,30-Apr-93,11,XX,0
T01,1,30-Apr-93,12,84,1
T01,1,06-May-93,1,XX,0
T01,1,06-May-93,2,2,3
T01,1,06-May-93,3,XX,0
T01,1,06-May-93,4,2,1
T01,1,06-May-93,5,2,1
T01,1,06-May-93,6,2,1
T01,1,06-May-93,7,2,2
T01,1,06-May-93,8,2,2
T01,1,06-May-93,8,84,2
T01,1,06-May-93,9,100,1
T01,1,06-May-93,9,84,2
T01,1,06-May-93,10,XX,0
T01,1,06-May-93,11,XX,0
T01,1,06-May-93,12,XX,0
T01,1,14-May-93,1,XX,0
T01,1,14-May-93,2,XX,0
T01,1,14-May-93,3,XX,0
T01,1,14-May-93,4,XX,0
T01,1,14-May-93,5,XX,0
T01,1,14-May-93,6,XX,0
T01,1,14-May-93,7,XX,0
T01,1,14-May-93,8,XX,0
T01,1,14-May-93,9,XX,0
T01,1,14-May-93,10,XX,0
T01,1,14-May-93,11,XX,0
T01,1,14-May-93,12,XX,0
T01,1,21-May-93,1,XX,0
T01,1,21-May-93,2,XX,0
T01,1,21-May-93,3,XX,0
T01,1,21-May-93,4,2,3
T01,1,21-May-93,5,84,1
T01,1,21-May-93,6,XX,0
T01,1,21-May-93,7,XX,0
T01,1,21-May-93,8,XX,0
T01,1,21-May-93,9,99,1
T01,1,21-May-93,10,XX,0
T01,1,21-May-93,11,XX,0
T01,1,21-May-93,12,XX,0
T01,1,01-Jun-93,1,XX,0
T01,1,01-Jun-93,2,XX,0
T01,1,01-Jun-93,3,XX,0
T01,1,01-Jun-93,4,100,1
T01,1,01-Jun-93,4,98,1
T01,1,01-Jun-93,4,99,1
T01,1,01-Jun-93,5,100,1
T01,1,01-Jun-93,6,XX,0
T01,1,01-Jun-93,7,XX,0
T01,1,01-Jun-93,8,XX,0
T01,1,01-Jun-93,9,XX,0
T01,1,01-Jun-93,10,XX,0
T01,1,01-Jun-93,11,XX,0
T01,1,01-Jun-93,12,XX,0
T01,1,05-Jun-93,1,XX,0
T01,1,05-Jun-93,2,XX,0
T01,1,05-Jun-93,3,XX,0
T01,1,05-Jun-93,4,100,2
T01,1,05-Jun-93,5,29,1
T01,1,05-Jun-93,6,100,1
T01,1,05-Jun-93,7,XX,0
T01,1,05-Jun-93,8,XX,0
T01,1,05-Jun-93,9,XX,0
T01,1,05-Jun-93,10,XX,0
T01,1,05-Jun-93,11,98,1
T01,1,05-Jun-93,12,XX,0
T01,1,15-Jun-93,1,XX,0
T01,1,15-Jun-93,2,XX,0
T01,1,15-Jun-93,3,XX,0
T01,1,15-Jun-93,4,2,1
T01,1,15-Jun-93,5,XX,0
T01,1,15-Jun-93,6,XX,0
T01,1,15-Jun-93,7,XX,0
T01,1,15-Jun-93,8,XX,0
T01,1,15-Jun-93,9,XX,0
T01,1,15-Jun-93,10,XX,0
T01,1,15-Jun-93,11,XX,0
T01,1,15-Jun-93,12,XX,0
T01,1,23-Jun-93,1,XX,0
T01,1,23-Jun-93,2,XX,0
T01,1,23-Jun-93,3,XX,0
T01,1,23-Jun-93,4,100,1
T01,1,23-Jun-93,4,120,2
T01,1,23-Jun-93,4,98,2
T01,1,23-Jun-93,5,XX,0
T01,1,23-Jun-93,6,XX,0
T01,1,23-Jun-93,7,XX,0
T01,1,23-Jun-93,8,XX,0
T01,1,23-Jun-93,9,XX,0
T01,1,23-Jun-93,10,XX,0
T01,1,23-Jun-93,11,XX,0
T01,1,23-Jun-93,12,XX,0
T01,1,25-Jun-93,1,XX,0
T01,1,25-Jun-93,2,XX,0
T01,1,25-Jun-93,3,XX,0
T01,1,25-Jun-93,4,120,1
T01,1,25-Jun-93,4,122,1
T01,1,25-Jun-93,4,29,1
T01,1,25-Jun-93,4,98,1
T01,1,25-Jun-93,5,100,1
T01,1,25-Jun-93,5,122,1
T01,1,25-Jun-93,5,75,1
T01,1,25-Jun-93,6,XX,0
T01,1,25-Jun-93,7,120,2
T01,1,25-Jun-93,7,75,1
T01,1,25-Jun-93,7,8,1
T01,1,25-Jun-93,8,XX,0
T01,1,25-Jun-93,9,XX,0
T01,1,25-Jun-93,10,XX,0
T01,1,25-Jun-93,11,XX,0
T01,1,25-Jun-93,12,XX,0
T01,1,02-Jul-93,1,XX,0
T01,1,02-Jul-93,2,29,2
T01,1,02-Jul-93,3,XX,0
T01,1,02-Jul-93,4,100,1
T01,1,02-Jul-93,4,120,4
T01,1,02-Jul-93,4,8,4
T01,1,02-Jul-93,5,120,1
T01,1,02-Jul-93,5,75,2
T01,1,02-Jul-93,6,120,1
T01,1,02-Jul-93,6,75,1
T01,1,02-Jul-93,6,8,2
T01,1,02-Jul-93,7,75,2
T01,1,02-Jul-93,7,8,1
T01,1,02-Jul-93,7,88,1
T01,1,02-Jul-93,8,75,3
T01,1,02-Jul-93,9,75,1
T01,1,02-Jul-93,9,8,2
T01,1,02-Jul-93,10,XX,0
T01,1,02-Jul-93,11,XX,0
T01,1,02-Jul-93,12,XX,0
T01,1,14-Jul-93,1,XX,0
T01,1,14-Jul-93,2,120,2
T01,1,14-Jul-93,3,XX,0
T01,1,14-Jul-93,4,29,1
T01,1,14-Jul-93,4,8,2
T01,1,14-Jul-93,4,98,2
T01,1,14-Jul-93,5,120,2
T01,1,14-Jul-93,5,75,1
T01,1,14-Jul-93,6,98,1
T01,1,14-Jul-93,7,120,1
T01,1,14-Jul-93,7,8,1
T01,1,14-Jul-93,8,75,1
T01,1,14-Jul-93,9,2,1
T01,1,14-Jul-93,9,8,1
T01,1,14-Jul-93,10,XX,0
T01,1,14-Jul-93,11,75,1
T01,1,14-Jul-93,12,XX,0
T01,1,22-Jul-93,1,100,1
T01,1,22-Jul-93,2,100,1
T01,1,22-Jul-93,2,54,1
T01,1,22-Jul-93,2,76,1
T01,1,22-Jul-93,3,XX,0
T01,1,22-Jul-93,4,100,3
T01,1,22-Jul-93,4,2,1
T01,1,22-Jul-93,4,75,2
T01,1,22-Jul-93,4,88,1
T01,1,22-Jul-93,4,98,1
T01,1,22-Jul-93,5,100,1
T01,1,22-Jul-93,5,2,2
T01,1,22-Jul-93,5,54,1
T01,1,22-Jul-93,5,75,2
T01,1,22-Jul-93,5,76,2
T01,1,22-Jul-93,5,88,1
T01,1,22-Jul-93,6,XX,0
T01,1,22-Jul-93,7,2,1
T01,1,22-Jul-93,7,54,1
T01,1,22-Jul-93,7,75,2
T01,1,22-Jul-93,7,76,3
T01,1,22-Jul-93,7,8,1
T01,1,22-Jul-93,8,76,1
T01,1,22-Jul-93,9,100,2
T01,1,22-Jul-93,9,75,1
T01,1,22-Jul-93,9,76,2
T01,1,22-Jul-93,10,100,1
T01,1,22-Jul-93,11,2,4
T01,1,22-Jul-93,12,XX,0
T01,1,02-Aug-93,1,XX,0
T01,1,02-Aug-93,2,76,3
T01,1,02-Aug-93,3,XX,0
T01,1,02-Aug-93,4,100,1
T01,1,02-Aug-93,4,76,2
T01,1,02-Aug-93,5,100,3
T01,1,02-Aug-93,5,75,1
T01,1,02-Aug-93,5,76,3
T01,1,02-Aug-93,5,99,1
T01,1,02-Aug-93,6,75,1
T01,1,02-Aug-93,6,76,1
T01,1,02-Aug-93,7,75,1
T01,1,02-Aug-93,7,76,1
T01,1,02-Aug-93,7,8,1
T01,1,02-Aug-93,8,84,2
T01,1,02-Aug-93,9,76,4
T01,1,02-Aug-93,9,8,1
T01,1,02-Aug-93,10,98,1
T01,1,02-Aug-93,11,XX,0
T01,1,02-Aug-93,12,XX,0
T01,1,13-Aug-93,1,XX,0
T01,1,13-Aug-93,2,XX,0
T01,1,13-Aug-93,3,100,2
T01,1,13-Aug-93,4,100,7
T01,1,13-Aug-93,4,120,1
T01,1,13-Aug-93,4,76,3
T01,1,13-Aug-93,4,84,1
T01,1,13-Aug-93,4,98,9
T01,1,13-Aug-93,4,99,1
T01,1,13-Aug-93,5,54,1
T01,1,13-Aug-93,5,75,1
T01,1,13-Aug-93,5,76,2
T01,1,13-Aug-93,5,84,1
T01,1,13-Aug-93,5,99,2
T01,1,13-Aug-93,6,75,1
T01,1,13-Aug-93,6,76,2
T01,1,13-Aug-93,6,99,1
T01,1,13-Aug-93,7,75,2
T01,1,13-Aug-93,7,76,1
T01,1,13-Aug-93,7,99,1
T01,1,13-Aug-93,8,XX,0
T01,1,13-Aug-93,9,100,1
T01,1,13-Aug-93,9,76,4
T01,1,13-Aug-93,9,99,2
T01,1,13-Aug-93,10,XX,0
T01,1,13-Aug-93,11,XX,0
T01,1,13-Aug-93,12,XX,0
T01,1,19-Aug-93,1,XX,0
T01,1,19-Aug-93,2,100,1
T01,1,19-Aug-93,2,99,2
T01,1,19-Aug-93,3,98,1
T01,1,19-Aug-93,4,100,8
